ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-02,32.175722053569004,24.21596763307206,43.61075289313817,32.175722053569004,32.175722053569004,1.3949627322465048,1.3949627322465048,1.3949627322465048,0.9248777555274715,0.9248777555274715,0.9248777555274715,0.47008497671903315,0.47008497671903315,0.47008497671903315,0.0,0.0,0.0,33.57068478581551
2015-01-05,32.12530044190208,22.957736539455176,41.95100253246213,32.12530044190208,32.12530044190208,0.7235580059067126,0.7235580059067126,0.7235580059067126,1.0892424057097854,1.0892424057097854,1.0892424057097854,-0.36568439980307277,-0.36568439980307277,-0.36568439980307277,0.0,0.0,0.0,32.84885844780879
2015-01-06,32.1084932380131,22.932645611115465,41.66368219571109,32.1084932380131,32.1084932380131,0.39713657989095175,0.39713657989095175,0.39713657989095175,1.0109904169246278,1.0109904169246278,1.0109904169246278,-0.6138538370336761,-0.6138538370336761,-0.6138538370336761,0.0,0.0,0.0,32.50562981790405
2015-01-07,32.09168603412412,22.438009314701965,42.068664910411194,32.09168603412412,32.09168603412412,0.13398259420760586,0.13398259420760586,0.13398259420760586,0.9760845581580221,0.9760845581580221,0.9760845581580221,-0.8421019639504163,-0.8421019639504163,-0.8421019639504163,0.0,0.0,0.0,32.22566862833173
2015-01-08,32.07487883023515,21.62453083581156,42.259587348703796,32.07487883023515,32.07487883023515,-0.11076172440414545,-0.11076172440414545,-0.11076172440414545,0.937248288996779,0.937248288996779,0.937248288996779,-1.0480100134009245,-1.0480100134009245,-1.0480100134009245,0.0,0.0,0.0,31.964117105831004
2015-01-09,32.05807162634618,22.017586588145193,41.2447243942366,32.05807162634618,32.05807162634618,-0.3046057499028685,-0.3046057499028685,-0.3046057499028685,0.9248777555277035,0.9248777555277035,0.9248777555277035,-1.229483505430572,-1.229483505430572,-1.229483505430572,0.0,0.0,0.0,31.753465876443308
2015-01-12,32.00765001467924,21.57875205405031,41.77546912066626,32.00765001467924,32.00765001467924,-0.5225702493714344,-0.5225702493714344,-0.5225702493714344,1.08924240570464,1.08924240570464,1.08924240570464,-1.611812655076074,-1.611812655076074,-1.611812655076074,0.0,0.0,0.0,31.48507976530781
2015-01-13,31.990842810790273,22.191992681821294,42.60709274098358,31.990842810790273,31.990842810790273,-0.671036420265287,-0.671036420265287,-0.671036420265287,1.0109904169236323,1.0109904169236323,1.0109904169236323,-1.6820268371889195,-1.6820268371889195,-1.6820268371889195,0.0,0.0,0.0,31.319806390524985
2015-01-14,31.974035606901296,21.916736019350274,41.521024639385196,31.974035606901296,31.974035606901296,-0.74696612251212,-0.74696612251212,-0.74696612251212,0.9760845581577345,0.9760845581577345,0.9760845581577345,-1.7230506806698545,-1.7230506806698545,-1.7230506806698545,0.0,0.0,0.0,31.227069484389176
2015-01-15,31.957228403012323,20.887243757380215,41.309494238658,31.957228403012323,31.957228403012323,-0.7979114980534621,-0.7979114980534621,-0.7979114980534621,0.9372482889978059,0.9372482889978059,0.9372482889978059,-1.735159787051268,-1.735159787051268,-1.735159787051268,0.0,0.0,0.0,31.15931690495886
